Epoch,Accuracy,Precision,Recall,F1-score,Train Loss,Val Loss
1,0.923438,0.923615,0.923438,0.923456,0.2279,0.217035
2,0.929688,0.930046,0.929688,0.929645,0.1984,0.205782
3,0.929688,0.929986,0.929688,0.929668,0.1886,0.207324
4,0.928125,0.928514,0.928125,0.928202,0.1754,0.198462
5,0.929688,0.929992,0.929688,0.92975,0.1775,0.198876
6,0.925,0.925366,0.925,0.925072,0.1616,0.19753
7,0.925,0.925302,0.925,0.925061,0.1604,0.198245
8,0.928125,0.928372,0.928125,0.928146,0.1637,0.198691
9,0.928125,0.928344,0.928125,0.928174,0.1584,0.197967
10,0.929688,0.92992,0.929688,0.929733,0.1725,0.197901
11,0.926562,0.926963,0.926562,0.926629,0.1589,0.196192
12,0.926562,0.926785,0.926562,0.926616,0.1585,0.196857
13,0.93125,0.931415,0.93125,0.931269,0.1621,0.197452
14,0.928125,0.928068,0.928125,0.927992,0.1826,0.2197
15,0.928125,0.928065,0.928125,0.927947,0.1822,0.219776
16,0.926562,0.926537,0.926562,0.926408,0.1848,0.219949
17,0.925,0.925012,0.925,0.924817,0.1791,0.217476
18,0.928125,0.928093,0.928125,0.927995,0.1912,0.215267
19,0.923438,0.923378,0.923438,0.92322,0.1891,0.217046
20,0.925,0.92492,0.925,0.924813,0.1849,0.216559
21,0.925,0.925012,0.925,0.924817,0.1894,0.216478
22,0.928125,0.928053,0.928125,0.927999,0.1877,0.215432
23,0.925,0.92492,0.925,0.924813,0.1814,0.21551
